Timestamp,Temperature (°C),Humidity (%),MQ2 (%),MQ5 (%),MQ135 (%)
1/1/2024 0:00,24.8,61.3,29.1,12.4,52.9
1/1/2024 1:00,28.5,60.2,9.1,7.7,15.6
1/1/2024 2:00,27.7,39.7,7.1,9,2
1/1/2024 3:00,32.8,40.6,26.4,23.4,55.9
1/1/2024 4:00,23.7,59.4,48.4,42.5,55.6
1/1/2024 5:00,25.9,40.4,47.1,56.7,40.9
1/1/2024 6:00,23.2,39.3,31.3,50.3,35.9
1/1/2024 7:00,26.7,41.2,46.5,48,33.7
1/1/2024 8:00,22.1,49,45.2,43.1,53
1/1/2024 9:00,29.4,50.2,39.6,11.4,19.4
1/1/2024 10:00,29.5,59.3,33.6,59.5,50.6
1/1/2024 11:00,22.3,33.2,31.5,26.9,45
1/1/2024 12:00,21.3,65.8,16.8,32.1,30.9
1/1/2024 13:00,20.8,56.2,39.4,49,50.7
1/1/2024 14:00,30.7,43.2,16.6,44.9,62.9
1/1/2024 15:00,22.1,55.7,10.4,24.7,59.7
1/1/2024 16:00,23.7,32.4,11.9,27.4,58.8
1/1/2024 17:00,30.1,49.2,17.3,10.3,38.7
1/1/2024 18:00,21.6,60,13.5,4.4,3.7
1/1/2024 19:00,30,59.4,28.7,21.7,60.6
1/1/2024 20:00,31.2,64.1,15.1,17,59.6
1/1/2024 21:00,33.1,55.7,11.2,13.4,49.7
1/1/2024 22:00,24.2,39.9,36.8,49.2,59.1
1/1/2024 23:00,29.1,47.3,42.2,0.1,62.6
1/2/2024 0:00,25.9,62.7,40.5,4,65.5
1/2/2024 1:00,32.5,59.7,11.8,36.4,21.6
1/2/2024 2:00,32,41,47,11.8,2.2
1/2/2024 3:00,23.6,45.9,15.8,33.2,1.2
1/2/2024 4:00,26.3,68.3,46,55.8,57.4
1/2/2024 5:00,25.1,68.8,17.9,36.8,20.7
1/2/2024 6:00,30.5,63.7,15.8,58.9,21.1
1/2/2024 7:00,20.9,62.5,17.8,5.7,22.2
1/2/2024 8:00,32.4,57.3,23.3,52,54.8
1/2/2024 9:00,25,57.8,48.2,51.6,42.9
1/2/2024 10:00,24.1,67.3,35.6,22.8,56
1/2/2024 11:00,27.4,69.7,39.2,24.9,2.6
1/2/2024 12:00,32.9,53.9,3,53.3,51.4
1/2/2024 13:00,22.7,35.7,34.9,33.6,52.3
1/2/2024 14:00,26.6,60.5,44.1,48.5,43.7
1/2/2024 15:00,23,59.2,48.6,39.3,69.9
1/2/2024 16:00,22.1,35.8,33.1,33.3,39.6
1/2/2024 17:00,20,65.4,27.3,5.5,38.6
1/2/2024 18:00,31,63.5,28.9,53.8,40
1/2/2024 19:00,33.7,30.5,1.9,13.2,48.9
1/2/2024 20:00,33.6,34,23.4,51.4,5.8
1/2/2024 21:00,24.1,47.5,1.3,49.1,10.4
1/2/2024 22:00,21.9,66.5,21.9,58.1,2.8
1/2/2024 23:00,33,49.9,18.7,8.6,52.8
1/3/2024 0:00,32.1,63.9,28.3,0.4,31.1
1/3/2024 1:00,29.6,57.7,20.8,41.3,18.3
1/3/2024 2:00,27.6,55.5,6.2,8.3,66.6
1/3/2024 3:00,30,48.4,39.1,11.9,30
1/3/2024 4:00,24.4,38.5,39.5,42.1,26.2
1/3/2024 5:00,20.7,65,31,3.8,58.7
1/3/2024 6:00,32,67.1,27.3,3,53.2
1/3/2024 7:00,32,41,8.2,9.8,8.2
1/3/2024 8:00,28.8,58.9,38.4,16.3,52.7
1/3/2024 9:00,26.1,30.7,1.1,51.1,42.2
1/3/2024 10:00,21,66.1,28.2,35.6,29.6
1/3/2024 11:00,30.2,58.4,28,24.5,13.1
1/3/2024 12:00,25.8,52.7,31.3,57.9,48.1
1/3/2024 13:00,25.4,41.4,23.7,37.4,37.5
1/3/2024 14:00,31.8,57.8,44.9,57.4,18.6
1/3/2024 15:00,20.3,67.6,29.1,41.7,46.1
1/3/2024 16:00,26.7,54.1,47.7,3.8,47.5
1/3/2024 17:00,31.1,32.1,47.6,15.7,14.8
1/3/2024 18:00,29.6,33,39.3,0.4,21.3
1/3/2024 19:00,25,54.8,16.2,51.1,49.1
1/3/2024 20:00,29.2,40.2,20.7,41.5,60.5
1/3/2024 21:00,28.3,48.2,34.8,35.2,15
1/3/2024 22:00,31,44.9,12,17.7,32.7
1/3/2024 23:00,35,32.5,38.4,59.2,21.4
1/4/2024 0:00,24.6,30.6,33.1,35,19.8
1/4/2024 1:00,21.1,48.5,36.4,13.8,40.5
1/4/2024 2:00,30.9,44.3,8.7,6,2.9
1/4/2024 3:00,34.2,69.9,29,17.9,30.7
1/4/2024 4:00,22.1,52.6,10.4,11.9,51.8
1/4/2024 5:00,28.2,55.9,15.7,34.2,69.9
1/4/2024 6:00,24.6,46.4,14.9,25.9,49.8
1/4/2024 7:00,23.1,61.6,28.2,48.3,23
1/4/2024 8:00,24.8,39.8,47.4,12.5,1.5
1/4/2024 9:00,31.7,46.2,24,0.6,66.5
1/4/2024 10:00,27.3,54.8,12.3,20.1,36.8
1/4/2024 11:00,33.7,53.3,2.8,48.1,25.3
1/4/2024 12:00,25.1,67.1,17.8,22.9,42.7
1/4/2024 13:00,28.9,32.9,43.7,0.7,0.6
1/4/2024 14:00,23.4,53.8,43.5,14.4,26.1
1/4/2024 15:00,30.8,36.2,17,9.1,24.9
1/4/2024 16:00,31,65.8,11.8,47.8,21.2
1/4/2024 17:00,29.5,56.6,2.5,14,55.8
1/4/2024 18:00,22,51,32.5,54.7,66.4
1/4/2024 19:00,20.9,43.1,13,54,15.1
1/4/2024 20:00,32.5,33.3,34.8,3.2,42.9
1/4/2024 21:00,20.6,54.8,33.2,35.7,3.9
1/4/2024 22:00,29.8,58.8,42.6,58.8,39.4
1/4/2024 23:00,33,39.1,19,0.4,6.9
1/5/2024 0:00,25.6,50.5,34.3,42.9,47.9
1/5/2024 1:00,20.9,55.5,2.7,1.4,10.3
1/5/2024 2:00,29.3,36.8,37.8,20.1,21.2
1/5/2024 3:00,23.8,55.7,24.3,44.5,53
1/5/2024 4:00,32.3,40,9.4,47.7,38.8
1/5/2024 5:00,25,37.6,40.4,7.1,51
